,komentar,score,value,,jika score,maka,,,,,,komentar,score,value
373,Perbaiki bug nya dong...... masa setiap hari ada notifikasi tugas terus..... capek saya !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,NEGATIVE,,,,,,,,373,Perbaiki bug nya dong...... masa setiap hari ada notifikasi tugas terus..... capek saya !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,NEGATIVE
374,"Min, ini kenapa ya? Dari kemaren gak bisa ngirim tugas?! Gua udh ngerjain tugas, pusing, ditambah ini lagi. Padahal bar WiFi full. Tolong diperbaiki lagi! Gua stress nih anjir! 😭",2,NEGATIVE,,,,,,,,374,"Min, ini kenapa ya? Dari kemaren gak bisa ngirim tugas?! Gua udh ngerjain tugas, pusing, ditambah ini lagi. Padahal bar WiFi full. Tolong diperbaiki lagi! Gua stress nih anjir! 😭",2,NEGATIVE
375,"Terima kasih developer yang udah membuat aplikasi ini, karna dengan aplikasi ini saya bisa membuat mesin waktu untuk mengubah dunia ini menjadi lebih baik lagi agar kedepannya tidak ada aplikasi macam ini lagi . Terimakasih developer! .",4,POSITIVE,,,,,,,,375,"Terima kasih developer yang udah membuat aplikasi ini, karna dengan aplikasi ini saya bisa membuat mesin waktu untuk mengubah dunia ini menjadi lebih baik lagi agar kedepannya tidak ada aplikasi macam ini lagi . Terimakasih developer! .",4,POSITIVE
376,"aplikasi Google classroom nya sudah bagus tetapi lebih bagus lagi kalok gak ada bug notifikasi, soalnya waktu bangun tidur tiba tiba ada bug notifikasi link presensi dan tugas itu membuat saya meng-sedih,dan saya harap bugnya dihilangkan saja, sekian terimakasih",1,NEGATIVE,,,,,,,,376,"aplikasi Google classroom nya sudah bagus tetapi lebih bagus lagi kalok gak ada bug notifikasi, soalnya waktu bangun tidur tiba tiba ada bug notifikasi link presensi dan tugas itu membuat saya meng-sedih,dan saya harap bugnya dihilangkan saja, sekian terimakasih",1,NEGATIVE
377,Ini buat nger Jain tugas,2,NEGATIVE,,,,,,,,377,Ini buat nger Jain tugas,2,NEGATIVE
378,"Saya sering mengalami masalah saat memasukan file atau google form, padahal koneksi internet saya bagus. Setelah memasukkan file tulisannya masih ditugaskan atau tidak ada walaupun sudah dikerjakan. Udah di refresh pun masih sama",1,NEGATIVE,,,,,,,,378,"Saya sering mengalami masalah saat memasukan file atau google form, padahal koneksi internet saya bagus. Setelah memasukkan file tulisannya masih ditugaskan atau tidak ada walaupun sudah dikerjakan. Udah di refresh pun masih sama",1,NEGATIVE
379,woe komtl apk eror tros gajelas gabisa logen terjadi kesalahan matane lah cok,1,NEGATIVE,,,,,,,,379,woe komtl apk eror tros gajelas gabisa logen terjadi kesalahan matane lah cok,1,NEGATIVE
380,"Yang lainya sudah bagus, hanya saja jika ada tugas baru muncul, tidak ada notifikasi dari aplikasinya tersebut..sehingga saya tidak tau a jika sudah ada tugas dari bapak dan ibuguru saya.. itu saja, terimakasih🙏",4,POSITIVE,,,,,,,,380,"Yang lainya sudah bagus, hanya saja jika ada tugas baru muncul, tidak ada notifikasi dari aplikasinya tersebut..sehingga saya tidak tau a jika sudah ada tugas dari bapak dan ibuguru saya.. itu saja, terimakasih🙏",4,POSITIVE
381,apk nya sagat jelek kalo bisa di perbaiki supaya tidak ada tugas!!!!!!!otak saya mumet dan saya stressssss conggoook di apk tolol!!!!!!!!!!! di hapus aja nih apk huhhhhhh!!!!!!!!!!!!!!!!!!!!,1,NEGATIVE,,,,,,,,381,apk nya sagat jelek kalo bisa di perbaiki supaya tidak ada tugas!!!!!!!otak saya mumet dan saya stressssss conggoook di apk tolol!!!!!!!!!!! di hapus aja nih apk huhhhhhh!!!!!!!!!!!!!!!!!!!!,1,NEGATIVE
382,"Mantap yang menciptakan aplikasi ini ! Semenjak ada Google Classroom ini saya menjadi lebih giat, rajin, dan tekun dalam belajar dan mengerjakan tugas. Tapi boong",5,POSITIVE,,,,,,,,382,"Mantap yang menciptakan aplikasi ini ! Semenjak ada Google Classroom ini saya menjadi lebih giat, rajin, dan tekun dalam belajar dan mengerjakan tugas. Tapi boong",5,POSITIVE
383,"Membantu banget buat belajar online apa lagi sekarang lagi dimasa pandemi, pengalamanku sekolah online pakai ini ga bikin nambah memori cuma classroom nya sj yang pke memori. Dulu saya pernah daring pke WhatsApp tapi kata ku itu jadi lebih boros memori klo pake wa karna kirim foto,tapi klo pke classroom menurut ku lebih hemat memori. Tapi jujur sj ku capekk harus bangun pagi dan tugas 😭🙏",4,POSITIVE,,,,,,,,383,"Membantu banget buat belajar online apa lagi sekarang lagi dimasa pandemi, pengalamanku sekolah online pakai ini ga bikin nambah memori cuma classroom nya sj yang pke memori. Dulu saya pernah daring pke WhatsApp tapi kata ku itu jadi lebih boros memori klo pake wa karna kirim foto,tapi klo pke classroom menurut ku lebih hemat memori. Tapi jujur sj ku capekk harus bangun pagi dan tugas 😭🙏",4,POSITIVE
384,Ngeselin aplikasinya makin lam,1,NEGATIVE,,,,,,,,384,Ngeselin aplikasinya makin lam,1,NEGATIVE
385,"Minggu pertama hasil bagus,,,cuma minggu slanjut nya saya ga bisa ngirim jawaban tugas yg di photokan,3 pelajaran saya ga bisa ngirim, saya mungkin ga dpt nilai dari ibu/ bpk guru,,,😢 Tolong perbaiki lagi pak ya",2,NEGATIVE,,,,,,,,385,"Minggu pertama hasil bagus,,,cuma minggu slanjut nya saya ga bisa ngirim jawaban tugas yg di photokan,3 pelajaran saya ga bisa ngirim, saya mungkin ga dpt nilai dari ibu/ bpk guru,,,😢 Tolong perbaiki lagi pak ya",2,NEGATIVE
386,"Buruk, untuk meng-upload video/gambar/dokumen sangat lambat. Mohon untuk segera dioptimalkan!",2,NEGATIVE,,,,,,,,386,"Buruk, untuk meng-upload video/gambar/dokumen sangat lambat. Mohon untuk segera dioptimalkan!",2,NEGATIVE
387,"Makasih untuk Google, anda benar benar membantu saya, sejak saya donlot ini , saya minum oskadon 3 kali sehari karena tugas yang banyak sehingga saya pergi ke dokter dan geger otack, sekian terima kasih sudah membantu setres 🗿🙏",1,NEGATIVE,,,,,,,,387,"Makasih untuk Google, anda benar benar membantu saya, sejak saya donlot ini , saya minum oskadon 3 kali sehari karena tugas yang banyak sehingga saya pergi ke dokter dan geger otack, sekian terima kasih sudah membantu setres 🗿🙏",1,NEGATIVE
388,Spam tugas mulu,5,POSITIVE,,,,,,,,388,Spam tugas mulu,5,POSITIVE
389,"Aplikasi nya bagus banget 😍😍😍😍😍😍, ya meskipun agak sedikit loading sih, tapi, jujur, ini bagus banget, sumpah 👍",5,POSITIVE,,,,,,,,389,"Aplikasi nya bagus banget 😍😍😍😍😍😍, ya meskipun agak sedikit loading sih, tapi, jujur, ini bagus banget, sumpah 👍",5,POSITIVE
390,"Aplnya bagus tapi ada bug, pas buka kelas terus langsung liat tugas, gak ada tugas, terus balik ke forum cuma ada 1 postingan(postingan pertama) terus baru tugas muncul saat sekitar 1 dtk di forum sama tugas",4,POSITIVE,,,,,,,,390,"Aplnya bagus tapi ada bug, pas buka kelas terus langsung liat tugas, gak ada tugas, terus balik ke forum cuma ada 1 postingan(postingan pertama) terus baru tugas muncul saat sekitar 1 dtk di forum sama tugas",4,POSITIVE
391,Tolong Devoloper nya tolong perbaiki bug nya knp setiap saya bangun tidur selalu ada notif tugas dari guru tolong bug ini segera di fikss,1,NEGATIVE,,,,,,,,391,Tolong Devoloper nya tolong perbaiki bug nya knp setiap saya bangun tidur selalu ada notif tugas dari guru tolong bug ini segera di fikss,1,NEGATIVE
392,"Apk ini cukup bagus tapi kenapa setiap hari ada notif tugas ya?, Tolong diperbaiki nanti saya tambah bintangnya👍",1,NEGATIVE,,,,,,,,392,"Apk ini cukup bagus tapi kenapa setiap hari ada notif tugas ya?, Tolong diperbaiki nanti saya tambah bintangnya👍",1,NEGATIVE
393,Tolonglah ini kenapa sih apk nya gua ngirim tugas dah di foto di doc udah tersimpan perubahannya tapi kenapa kok masih tetap latar putih??? Kalo gini nilai gua jadi anjlok PERBAIKI LAGI APK NYA!!!,2,NEGATIVE,,,,,,,,393,Tolonglah ini kenapa sih apk nya gua ngirim tugas dah di foto di doc udah tersimpan perubahannya tapi kenapa kok masih tetap latar putih??? Kalo gini nilai gua jadi anjlok PERBAIKI LAGI APK NYA!!!,2,NEGATIVE
394,"Assalamu'alaikum tolong bug nya di perbaiki, masa saya sedang tidur ada notifikasi tugas , tolong fitur kirim / tambah tugasnya di hilangkan biar guru sy tidak mingirim tugas lagi.🙏 Tolong segera di perbaiki bug nya.",1,NEGATIVE,,,,,,,,394,"Assalamu'alaikum tolong bug nya di perbaiki, masa saya sedang tidur ada notifikasi tugas , tolong fitur kirim / tambah tugasnya di hilangkan biar guru sy tidak mingirim tugas lagi.🙏 Tolong segera di perbaiki bug nya.",1,NEGATIVE
395,"Setiap gue ngirim tugas jadi murah, karena ada khusus tugas yang dikasih, Thank you too GC....",5,POSITIVE,,,,,,,,395,"Setiap gue ngirim tugas jadi murah, karena ada khusus tugas yang dikasih, Thank you too GC....",5,POSITIVE
396,Apk nih bagus,5,POSITIVE,,,,,,,,396,Apk nih bagus,5,POSITIVE
397,DI SPAM MULU SAMA GURU ANJGG,1,NEGATIVE,,,,,,,,397,DI SPAM MULU SAMA GURU ANJGG,1,NEGATIVE
398,"Knp klw setiap ngirim tugas lama kali biar terkirim, apalagi pas ngirim tugas ringkasan kan pasti banyak, harus nunggu sekitar setengah jam lebih biar terkirim. Lo kira gw gk stress?? Mohon perbaikannya🙏🙏🙏🙏",1,NEGATIVE,,,,,,,,398,"Knp klw setiap ngirim tugas lama kali biar terkirim, apalagi pas ngirim tugas ringkasan kan pasti banyak, harus nunggu sekitar setengah jam lebih biar terkirim. Lo kira gw gk stress?? Mohon perbaikannya🙏🙏🙏🙏",1,NEGATIVE
399,"Google jelek banget masa udah beberapa hari ini ngga bisa ngirim tugas, padahal tugasku ada batas waktunya, gegara ngadat error' Mulu sya telat terus kumpulnya, mohon di perbaiki dong, kasian kita udah capej2 kerja malah telat gara2 Googlenya yang ngga bisa 😡😭😡😭😡",1,NEGATIVE,,,,,,,,399,"Google jelek banget masa udah beberapa hari ini ngga bisa ngirim tugas, padahal tugasku ada batas waktunya, gegara ngadat error' Mulu sya telat terus kumpulnya, mohon di perbaiki dong, kasian kita udah capej2 kerja malah telat gara2 Googlenya yang ngga bisa 😡😭😡😭😡",1,NEGATIVE
400,"Terima kasih google, classroom sy sdh bs mengirim tgs. Sesuai janji sy beri 5 bintang 👍",1,NEGATIVE,,,,,,,,400,"Terima kasih google, classroom sy sdh bs mengirim tgs. Sesuai janji sy beri 5 bintang 👍",1,NEGATIVE
401,Kgk bisa di downlond selalu berenti kalo udah di 60% atau 20% gimana si padahal sinyal nya stabil memo gw gk penuh tpi gk bisa perbaikin donk gimana si😤,1,NEGATIVE,,,,,,,,401,Kgk bisa di downlond selalu berenti kalo udah di 60% atau 20% gimana si padahal sinyal nya stabil memo gw gk penuh tpi gk bisa perbaikin donk gimana si😤,1,NEGATIVE
402,Agar mudah untuk mengerjakan tugas atau melihat kembali tugas saya sarankan tambahin penanda /semacam wishlist biar gampang,4,POSITIVE,,,,,,,,402,Agar mudah untuk mengerjakan tugas atau melihat kembali tugas saya sarankan tambahin penanda /semacam wishlist biar gampang,4,POSITIVE
403,Tolong ini diperbaiki bugnya saya trus menerus ada tugas dan tidak berhenti tolong segera perbaiki bugnya agar tidak memberikan tugas lagi🥴,1,NEGATIVE,,,,,,,,403,Tolong ini diperbaiki bugnya saya trus menerus ada tugas dan tidak berhenti tolong segera perbaiki bugnya agar tidak memberikan tugas lagi🥴,1,NEGATIVE
404,Maksih google udah ciptain apk ini,4,POSITIVE,,,,,,,,404,Maksih google udah ciptain apk ini,4,POSITIVE
405,"Aplikasi nya bagus, cuma tugas tugas didlm nya aja yg g bagus bikin beban pikiran sya bertambah:) ok mksiie",4,POSITIVE,,,,,,,,405,"Aplikasi nya bagus, cuma tugas tugas didlm nya aja yg g bagus bikin beban pikiran sya bertambah:) ok mksiie",4,POSITIVE
406,"Setelah aku update aplikasi nya ko jadi gini, Tiba-tiba harus ganti akun, koneksi jaringan tidak tersedia padahal sinyal 4G, kouta baru ngisi, gimana ini teh Pihak aplikasi google Classroom tolong dibenarkan lagi??",1,NEGATIVE,,,,,,,,406,"Setelah aku update aplikasi nya ko jadi gini, Tiba-tiba harus ganti akun, koneksi jaringan tidak tersedia padahal sinyal 4G, kouta baru ngisi, gimana ini teh Pihak aplikasi google Classroom tolong dibenarkan lagi??",1,NEGATIVE
407,Tolong aplikasi nya kenapa selalu bikin saya kesel masih pagi tiba-tiba udh ada tugas aja tolong ilangin tugas nya biar saya gk kesel,1,NEGATIVE,,,,,,,,407,Tolong aplikasi nya kenapa selalu bikin saya kesel masih pagi tiba-tiba udh ada tugas aja tolong ilangin tugas nya biar saya gk kesel,1,NEGATIVE
408,"Alhamdulillah saya sudha tamat/khatam game ini sekali, kalo kamu mau main biasanya ada dua ronde yaitu semester 1 dan semester 2, nah biasanya ada levels pos yaitu ujian akhir semester nah kalo kalain memang semua level nanti kalain naik kelas. Keren kan😂👍",5,POSITIVE,,,,,,,,408,"Alhamdulillah saya sudha tamat/khatam game ini sekali, kalo kamu mau main biasanya ada dua ronde yaitu semester 1 dan semester 2, nah biasanya ada levels pos yaitu ujian akhir semester nah kalo kalain memang semua level nanti kalain naik kelas. Keren kan😂👍",5,POSITIVE
409,APLIKASI HARAM!!! JANGAN DIDOWNLOAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,NEGATIVE,,,,,,,,409,APLIKASI HARAM!!! JANGAN DIDOWNLOAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,NEGATIVE
410,"Kenapa makin lemot ya padahal diperbarui rutin, WiFi lancar, jaringan bagus, nggak tau lagi udah berapa kali nggak bisa ngirim tugas. Tolong diperbaiki ya",2,NEGATIVE,,,,,,,,410,"Kenapa makin lemot ya padahal diperbarui rutin, WiFi lancar, jaringan bagus, nggak tau lagi udah berapa kali nggak bisa ngirim tugas. Tolong diperbaiki ya",2,NEGATIVE
411,lag banget najis,1,NEGATIVE,,,,,,,,411,lag banget najis,1,NEGATIVE
412,"Tugas kelas kok tadinya udah bener kok malah error lagi? Udah dinaikin ratingnya eh malah diperburuk, maunya apa sih? Sekarang malah gak bisa ngumpulin pake google document, dah gitu fitur notifikasi gak semua masuk",1,NEGATIVE,,,,,,,,412,"Tugas kelas kok tadinya udah bener kok malah error lagi? Udah dinaikin ratingnya eh malah diperburuk, maunya apa sih? Sekarang malah gak bisa ngumpulin pake google document, dah gitu fitur notifikasi gak semua masuk",1,NEGATIVE
413,"Loading lamaa, tugas berupa foto dll susah terkirimnya. Udah nyoba lewat chrome tapi tetep gabisa lho. Udah di update malah kek gitu hmz.",1,NEGATIVE,,,,,,,,413,"Loading lamaa, tugas berupa foto dll susah terkirimnya. Udah nyoba lewat chrome tapi tetep gabisa lho. Udah di update malah kek gitu hmz.",1,NEGATIVE
414,Tolong kurangi PR,1,NEGATIVE,,,,,,,,414,Tolong kurangi PR,1,NEGATIVE
415,"ini bagus,tapi tolong bug nya diperbaiki,contohnya tiba² ada notifikasi tugas masuk,dan itu sangat menggangu",2,NEGATIVE,,,,,,,,415,"ini bagus,tapi tolong bug nya diperbaiki,contohnya tiba² ada notifikasi tugas masuk,dan itu sangat menggangu",2,NEGATIVE
416,tugas gw banyak gegara lu su,1,NEGATIVE,,,,,,,,416,tugas gw banyak gegara lu su,1,NEGATIVE
417,Gc makinn diperbarui makin buruk cape ah😩,2,NEGATIVE,,,,,,,,417,Gc makinn diperbarui makin buruk cape ah😩,2,NEGATIVE
418,Ayok men ujan,5,POSITIVE,,,,,,,,418,Ayok men ujan,5,POSITIVE
419,Mantap!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!mengapa lihat kebawah kan aku bilang mantap,5,POSITIVE,,,,,,,,419,Mantap!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!mengapa lihat kebawah kan aku bilang mantap,5,POSITIVE
420,Alhamdulillah apk ini bagus saya bisa belajar tapi satu yng saya gk tau absen kelas di google classroom ini gk ad di hp aku kalian ad gk??????????????????????????salam dari babel aku kasih bintang lima,5,POSITIVE,,,,,,,,420,Alhamdulillah apk ini bagus saya bisa belajar tapi satu yng saya gk tau absen kelas di google classroom ini gk ad di hp aku kalian ad gk??????????????????????????salam dari babel aku kasih bintang lima,5,POSITIVE
421,Kalau bisa nontifikasinya dihilangkan ya Saya sangat tidak suka dengan nontofikasinya yang membangunkan saya di pagi pagi,1,NEGATIVE,,,,,,,,421,Kalau bisa nontifikasinya dihilangkan ya Saya sangat tidak suka dengan nontofikasinya yang membangunkan saya di pagi pagi,1,NEGATIVE
422,Bagus tapi kok notip nya setress,5,POSITIVE,,,,,,,,422,Bagus tapi kok notip nya setress,5,POSITIVE
423,Dari lubuk hati yang paling dalam mau bilang makasih banyak buat pencipta GC (Google Classroom) yg udah sangaattt memudahkan guru-guru. Saran tambahain fitur voice note untuk komentar keren kali ya. Kalau saran pakai nadakan memudahkan anak lebih mengerti point apa yang mau dibenahi dari tugas mereka 😊 lebih masuk lagi ke hati mereka. Terima kasih 🙏😊,5,POSITIVE,,,,,,,,423,Dari lubuk hati yang paling dalam mau bilang makasih banyak buat pencipta GC (Google Classroom) yg udah sangaattt memudahkan guru-guru. Saran tambahain fitur voice note untuk komentar keren kali ya. Kalau saran pakai nadakan memudahkan anak lebih mengerti point apa yang mau dibenahi dari tugas mereka 😊 lebih masuk lagi ke hati mereka. Terima kasih 🙏😊,5,POSITIVE
424,"Saya mau protes,kenapa dari tadi saya ngrim tugas ke guru tidak bisa,dan tulisnya blg coba lagi.Pdlh jrngan saya bagus.Tolong di perbaiki ,saya tidak mau mengumpul tugas sampai terlambat .Cpt di perbaiki",1,NEGATIVE,,,,,,,,424,"Saya mau protes,kenapa dari tadi saya ngrim tugas ke guru tidak bisa,dan tulisnya blg coba lagi.Pdlh jrngan saya bagus.Tolong di perbaiki ,saya tidak mau mengumpul tugas sampai terlambat .Cpt di perbaiki",1,NEGATIVE
425,Bang ada bug nih Pas lagi tidur kok ada yang spam notif? Pls berbaikin agar tidak ada notif Itu sangat menganggu kan saya tidur,1,NEGATIVE,,,,,,,,425,Bang ada bug nih Pas lagi tidur kok ada yang spam notif? Pls berbaikin agar tidak ada notif Itu sangat menganggu kan saya tidur,1,NEGATIVE
426,"Gak bisa absen Mulu, sering kalau mau Malah ditanya ""aktifkan atau buka chrome"" kezel gua lama lama sama ni aplikasi,",1,NEGATIVE,,,,,,,,426,"Gak bisa absen Mulu, sering kalau mau Malah ditanya ""aktifkan atau buka chrome"" kezel gua lama lama sama ni aplikasi,",1,NEGATIVE
427,"Aplikasi Classroom ini sangat bagus, karna bisa absen dengan mudah menggunakan aplikasi ini, dan bisa berkomunikasi dengan semua peserta didik. Yang saya inginkan tolong di perbaiki lagi cara mengirim foto atau tugas dengan mudah, karna buat pertama kali menggunakan aplikasi ini pasti sangat bingung buat mengirim tugas.",5,POSITIVE,,,,,,,,427,"Aplikasi Classroom ini sangat bagus, karna bisa absen dengan mudah menggunakan aplikasi ini, dan bisa berkomunikasi dengan semua peserta didik. Yang saya inginkan tolong di perbaiki lagi cara mengirim foto atau tugas dengan mudah, karna buat pertama kali menggunakan aplikasi ini pasti sangat bingung buat mengirim tugas.",5,POSITIVE
428,"Gegara ni apk tugas gw numpuk asu, hapus aj lah ajg",1,NEGATIVE,,,,,,,,428,"Gegara ni apk tugas gw numpuk asu, hapus aj lah ajg",1,NEGATIVE
429,"MOHON PERBAIKI BUG NYA!!! Tolong ini aku udh ada 4 hari gabisa ngirim tugas pdhl make wifi kucoba make data sinyal oke pun gabisa ngirim😤tolong perbaiki bugnya, ini aku udh kelas 12 tolong bgt PERBAIKI BUGNYA!! aku kasih bintang 1 dulu kalo gcr ku udh bisa ngirim tugas baru ku kasih bintang 5",1,NEGATIVE,,,,,,,,429,"MOHON PERBAIKI BUG NYA!!! Tolong ini aku udh ada 4 hari gabisa ngirim tugas pdhl make wifi kucoba make data sinyal oke pun gabisa ngirim😤tolong perbaiki bugnya, ini aku udh kelas 12 tolong bgt PERBAIKI BUGNYA!! aku kasih bintang 1 dulu kalo gcr ku udh bisa ngirim tugas baru ku kasih bintang 5",1,NEGATIVE
430,"Ngebug parah,kirim tugas ga bisa,loading aja terus.kenapa mau ngirim tugas aja kendala ga bisa ngirim?dan tugas itu ga cuma 1,buat ngirim 1 tugas saja ga bisa,tolonglahh",1,NEGATIVE,,,,,,,,430,"Ngebug parah,kirim tugas ga bisa,loading aja terus.kenapa mau ngirim tugas aja kendala ga bisa ngirim?dan tugas itu ga cuma 1,buat ngirim 1 tugas saja ga bisa,tolonglahh",1,NEGATIVE
431,"GA BISA NGIRIM TUGAS!!! BANYAK ALESAN TERJADI MASALAH LAH TIDAK DAPAT DI KIRIM LAH INILAH ITULAH!!! WAKTU NGIRIM TU GA BANYAK!! YANG KENA MARAH SIAPA, WIFI DAN DATA BUKA YANG LAEN LANCAR LANCAR AJA KOK KO CLASROOM INI LEMOT! PERBAIKAN SANA!!! WAKTUNYA MAU ABISSSSS!!!!!",1,NEGATIVE,,,,,,,,431,"GA BISA NGIRIM TUGAS!!! BANYAK ALESAN TERJADI MASALAH LAH TIDAK DAPAT DI KIRIM LAH INILAH ITULAH!!! WAKTU NGIRIM TU GA BANYAK!! YANG KENA MARAH SIAPA, WIFI DAN DATA BUKA YANG LAEN LANCAR LANCAR AJA KOK KO CLASROOM INI LEMOT! PERBAIKAN SANA!!! WAKTUNYA MAU ABISSSSS!!!!!",1,NEGATIVE
